Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DGND       TP_SMD_1_5mm          2480mil       2329mil       2480mil       2329mil       2480mil       2329mil  B        180.00 Comment        
R15        R0603                 3470mil        815mil       3470mil        815mil   3439.685mil        815mil  T        360.00 10k            
R16        R0603                 3140mil   1165.001mil       3140mil   1165.001mil       3140mil   1134.686mil  T         90.00 10k            
R17        R0603                 3265mil        365mil       3265mil        365mil   3234.685mil        365mil  T        360.00 0R             
R18        0805              2562.598mil       1265mil       2600mil       1265mil       2600mil       1265mil  T        180.00 2.2K           
R19        R0603                 2750mil       1440mil       2750mil       1440mil   2780.315mil       1440mil  T        180.00 10k            
R20        R0603                 3195mil       2735mil       3195mil       2735mil   3164.685mil       2735mil  T        360.00 120R           
R21        R0603             2269.898mil   3262.748mil   2269.898mil   3262.748mil   2269.898mil   3293.063mil  T        270.00 10K            
R22        R0603             2810.003mil    2650.75mil   2810.003mil    2650.75mil   2779.688mil    2650.75mil  T        360.00 10K            
R23        R0603             2199.898mil   3262.748mil   2199.898mil   3262.748mil   2199.898mil   3293.063mil  T        270.00 10k            
R24        R0603             2340.898mil   3261.748mil   2340.898mil   3261.748mil   2340.898mil   3292.063mil  T        270.00 10K            
R25        R0603             2410.898mil   3261.748mil   2410.898mil   3261.748mil   2410.898mil   3292.063mil  T        270.00 10k            
R26        R0603             2755.003mil   2846.065mil   2755.003mil   2846.065mil   2755.003mil    2815.75mil  T         90.00 10K            
R27        R0603             2925.003mil   2685.751mil   2925.003mil    2685.75mil   2925.003mil   2655.436mil  T         90.00 10K            
R28        R0603                  160mil        750mil        160mil        750mil        160mil    719.685mil  T         90.00 330R           
R29        R0603                  230mil        750mil        230mil        750mil        230mil    719.685mil  T         90.00 330R           
R30        R0603                  461mil       1489mil        461mil       1489mil        461mil   1458.685mil  T         90.00 75R            
R31        R0603                  531mil       1489mil        531mil       1489mil        531mil   1458.685mil  T         90.00 75R            
R32        R0603                  671mil       1489mil        671mil       1489mil        671mil   1458.685mil  T         90.00 75R            
R33        R0603                  601mil       1489mil        601mil       1489mil        601mil   1458.685mil  T         90.00 75R            
R34        R0603             1084.252mil   1023.898mil   1084.252mil   1023.898mil   1114.567mil   1023.898mil  T        180.00 24.9K          
R35        0805                  1372mil   1868.598mil       1372mil       1906mil       1372mil       1906mil  T        270.00 39K/0.1W       
R36        0805                  1454mil   1611.598mil       1454mil       1649mil       1454mil       1649mil  T        270.00 10R/0.1W       
R37        2010                  2700mil   2107.874mil       2700mil       2200mil       2700mil       2200mil  T        270.00 20R/0.5W       
R38        R0603             1084.252mil    743.898mil   1084.252mil    743.898mil   1114.567mil    743.898mil  T        180.00 59K            
R39        R0603             1084.252mil    813.898mil   1084.252mil    813.898mil   1053.937mil    813.898mil  T        360.00 80.6K          
R40        R0603                  770mil       3240mil        770mil       3240mil        770mil   3209.685mil  T         90.00 10K            
R41        R0603                 2354mil       1292mil       2354mil       1292mil       2354mil   1322.315mil  T        270.00 0R             
R42        R0603                 1810mil       1320mil       1810mil       1320mil   1840.315mil       1320mil  T        180.00 10R            
R43        R0603             1084.252mil    883.898mil   1084.252mil    883.898mil   1053.937mil    883.898mil  T        360.00 39.2K          
R44        R0603                 1680mil       1320mil       1680mil       1320mil   1710.315mil       1320mil  T        180.00 1K             
R45        R0603             1084.252mil    953.898mil   1084.252mil    953.898mil   1053.937mil    953.898mil  T        360.00 90.9¦¸          
R46        1206                  1590mil   1557.323mil       1590mil       1490mil       1590mil       1490mil  T         90.00 0.39R/0.5W     
R47        R0603                 2295mil       1145mil       2295mil       1145mil       2295mil   1175.315mil  T        270.00 2K             
R48        R0603                 2080mil       1425mil       2080mil       1425mil   2049.685mil       1425mil  T        360.00 10K            
R49        R0603                 2080mil       1345mil       2080mil       1345mil   2049.685mil       1345mil  T        360.00 4.99K          
R50        R0603                 2080mil       1505mil       2080mil       1505mil   2049.685mil       1505mil  T        360.00 44.2K          
R51        R0603             1734.685mil       1040mil   1734.685mil       1040mil    1704.37mil       1040mil  T        360.00 2K             
R52        R0603             1839.685mil       1075mil   1839.685mil       1075mil   1839.685mil   1105.315mil  T        270.00 1.5K           
R53        R0603                 2080mil       1265mil       2080mil       1265mil   2049.685mil       1265mil  T        360.00 10K            
R54        R0603                 2225mil       1505mil       2225mil       1505mil   2255.315mil       1505mil  T        180.00 11.5K          
R55        R0603                  700mil       3240mil        700mil       3240mil        700mil   3209.685mil  T         90.00 10K            
R56        R0603                  630mil       3240mil        630mil       3240mil        630mil   3209.685mil  T         90.00 10K            
R57        R0603                 1135mil       3240mil       1135mil       3240mil       1135mil   3209.685mil  T         90.00 10K            
R58        R0603                 1045mil       3240mil       1045mil       3240mil       1045mil   3209.685mil  T         90.00 10K            
R59        R0603                  975mil       3240mil        975mil       3240mil        975mil   3209.685mil  T         90.00 10K            
R60        R0603                  910mil       3240mil        910mil       3240mil        910mil   3209.685mil  T         90.00 10K            
R61        R0603                  840mil       3240mil        840mil       3240mil        840mil   3209.685mil  T         90.00 10K            
R62        R0603                 2755mil       3155mil       2755mil       3155mil   2785.315mil       3155mil  T        180.00 1K             
R63        R0603                  435mil       3010mil        435mil       3010mil    465.315mil       3010mil  T        180.00 49R9           
R64        R0603                  435mil       2940mil        435mil       2940mil    465.315mil       2940mil  T        180.00 49R9           
R65        R0603                  280mil       2940mil        280mil       2940mil    249.685mil       2940mil  T        360.00 10R            
R66        R0603                 1210mil       3240mil       1210mil       3240mil       1210mil   3209.685mil  T         90.00 10K            
R67        R0603                 1290mil       3240mil       1290mil       3240mil       1290mil   3209.685mil  T         90.00 10K            
R68        R0603                 1236mil       2886mil       1236mil       2886mil       1236mil   2855.685mil  T         90.00 1M             
R69        R0603                 1360mil       3019mil       1360mil       3019mil   1390.315mil       3019mil  T        180.00 0R             
R70        R0603                  294mil       2711mil        294mil       2711mil    263.685mil       2711mil  T        360.00 82R 1%         
R71        R0603                  294mil       2638mil        294mil       2638mil    263.685mil       2638mil  T        360.00 82R 1%         
R72        R0603                  430mil       2510mil        430mil       2510mil    399.685mil       2510mil  T        360.00 12.4K 1%       
R73        R0603                 1100mil       2495mil       1100mil       2495mil       1100mil   2464.685mil  T         90.00 10K            
R74        R0603                 2845mil       1310mil       2845mil       1310mil       2845mil   1279.685mil  T         90.00 10k            
R75        R0603                 3220mil       3190mil       3220mil       3190mil   3189.685mil       3190mil  T        360.00 10K            
R76        R0603                 2940mil       1435mil       2940mil       1435mil   2970.315mil       1435mil  T        180.00 10k            
R77        R0603                 2985mil       1050mil       2985mil       1050mil   3015.315mil       1050mil  T        180.00 10M            
R78        R0603                 2985mil       1115mil       2985mil       1115mil   2954.685mil       1115mil  T        360.00 1.5M           
R79        R0603                 3055mil       1305mil       3055mil       1305mil       3055mil   1274.685mil  T         90.00 10k            
R80        2512                  3365mil        490mil       3365mil        490mil   3237.441mil        490mil  T        360.00 0R/1W          
T1         H1102NL            633.724mil        928mil        454mil       1103mil        454mil       1103mil  T        360.00 H2019          
T2         POE13P-12L            1942mil       2035mil       1942mil       2035mil   1618.378mil    1838.15mil  T        360.00 POE13P-12L     
U1         SOIC8                 3180mil       2965mil       3180mil       2965mil       3255mil   3061.457mil  T        270.00 SP3485         
U2         LQFP48            2310.278mil    2870.39mil       2310mil       2870mil   2120.974mil   2834.199mil  T         45.00 stm32f030c8    
